rid,age,race,latino,vote12,vote16,media,partyid,income,obama.th,trump.th,biden.th
1,46,3,1,1,1,2,2,21,0,100,0
2,37,4,2,1,1,3,5,13,50,0,0
3,40,1,2,1,1,1,3,17,90,0,65
4,41,4,2,1,1,3,2,7,85,15,70
5,72,5,2,1,1,2,3,22,10,85,15
6,71,1,2,1,2,2,3,3,60,0,85
7,37,1,2,1,1,3,2,4,15,75,50
8,45,1,2,2,2,4,2,3,50,100,50
9,70,1,2,1,,3,3,10,60,0,85
10,43,3,1,2,,2,1,11,100,0,85
11,37,3,1,2,,4,1,9,100,0,100
12,55,1,2,1,1,3,1,18,85,0,60
13,30,1,2,2,2,1,2,1,0,100,0
14,38,4,2,1,,1,1,21,100,0,85
15,41,2,2,1,2,3,3,3,85,40,60
16,66,3,1,2,,2,3,7,0,100,0
17,54,1,2,1,1,2,3,22,85,0,60
18,55,1,2,1,,2,1,20,100,0,85
19,62,1,2,1,,2,1,,100,15,85
20,80,1,2,1,1,2,1,5,100,15,70
21,31,3,1,2,,2,2,12,10,95,0
22,80,3,1,1,,3,1,6,75,0,75
23,24,1,2,2,1,2,3,21,45,5,40
24,55,1,2,1,,3,2,15,0,100,0
25,59,3,1,2,,3,1,6,60,15,0
26,73,1,2,1,1,3,1,5,90,0,85
27,72,1,2,1,1,2,3,5,50,100,0
28,50,1,2,1,2,4,3,20,60,60,50
29,66,1,2,1,,2,2,22,85,,70
30,41,3,1,1,1,3,1,15,100,0,70
31,52,4,2,1,1,1,3,1,100,85,0
32,45,5,2,2,,3,5,13,0,0,0
33,46,1,2,1,,1,1,4,100,0,85
34,66,1,2,1,,2,2,20,0,100,0
35,60,1,2,1,,2,1,20,100,0,85
36,73,1,2,1,,3,2,10,0,85,0
37,71,2,2,1,2,3,1,9,85,15,60
38,28,1,2,1,,2,3,3,80,0,40
39,73,1,2,1,,1,1,8,100,0,85
40,,1,2,1,1,1,2,,0,100,0
41,37,1,2,1,,3,2,19,30,70,15
42,56,2,2,1,1,2,1,4,100,5,80
43,48,1,2,1,,1,2,10,0,100,0
44,53,1,2,1,,2,2,19,0,98,0
45,72,1,2,1,,3,3,22,50,85,50
46,55,1,2,1,,2,2,1,0,100,0
47,79,1,2,1,,1,1,10,100,0,85
48,38,1,2,1,1,2,3,21,90,0,75
49,42,4,2,2,1,3,2,12,5,80,15
50,70,1,2,1,,2,3,15,100,0,100
51,50,5,2,1,1,2,1,,100,15,100
52,50,2,2,1,1,1,1,,85,0,100
53,27,1,2,1,1,,3,1,75,85,100
54,62,1,2,2,2,2,2,1,0,100,0
55,51,,,1,,4,3,,0,85,0
56,60,1,2,1,,,2,15,40,85,30
57,65,1,2,1,,2,1,9,80,15,75
58,,1,2,1,,1,3,21,70,0,85
59,48,1,2,1,,2,2,9,70,30,60
60,55,1,2,1,,2,3,13,30,85,15
61,54,1,2,2,2,3,3,19,50,30,50
62,38,1,2,1,,3,1,13,90,15,40
63,80,1,2,1,,1,1,10,100,0,100
64,37,6,2,2,,1,1,15,100,0,85
65,38,1,2,1,1,1,3,22,70,15,40
66,60,1,2,1,1,1,3,11,100,0,100
67,46,6,2,2,,2,3,14,100,0,100
68,78,1,2,1,1,1,1,17,60,0,15
69,39,1,2,1,1,1,1,16,90,0,72
70,33,2,2,1,1,2,1,11,85,0,70
71,74,1,2,1,,2,1,1,100,0,100
72,61,1,2,1,,2,1,10,100,0,85
73,67,1,2,1,,2,1,6,100,0,100
74,60,1,2,2,2,2,1,13,,,
75,,1,2,2,,2,2,17,0,85,15
76,21,2,2,2,,2,3,6,60,15,40
77,49,2,2,1,1,1,1,1,100,0,100
78,80,1,2,1,,2,1,16,100,0,85
79,70,1,2,1,1,2,3,6,0,70,0
80,70,1,2,1,1,2,1,,100,0,100
81,72,1,2,1,1,1,3,18,40,30,30
82,78,1,2,1,1,2,2,10,0,100,0
83,43,1,2,1,,2,1,10,100,0,70
84,45,2,2,2,,3,3,3,100,30,85
85,44,1,2,1,,2,1,21,85,0,70
86,50,3,1,1,,3,1,6,100,0,100
87,,1,2,2,1,3,3,,100,0,85
88,33,1,2,1,,2,3,15,85,0,85
89,55,1,2,1,,3,2,14,0,100,0
90,28,1,2,2,,3,2,20,15,60,30
91,34,1,2,1,1,2,2,22,0,85,15
92,24,1,2,2,,3,2,20,40,85,0
93,26,1,2,1,,2,2,2,0,100,0
94,75,1,2,1,,2,1,7,85,0,70
95,61,5,2,1,1,1,3,13,60,60,30
96,80,1,2,1,,1,2,22,,100,40
97,58,1,2,1,,1,3,18,85,0,70
98,50,3,1,1,1,1,1,12,100,0,100
99,76,1,2,1,1,1,1,6,100,0,100
100,80,1,2,1,1,3,3,9,60,30,60
101,48,6,2,2,,3,1,1,100,0,100
102,61,1,2,2,2,4,3,17,50,15,60
103,45,1,2,2,1,2,1,17,100,0,70
104,37,1,2,1,1,2,2,7,0,85,
105,36,1,2,1,,2,2,17,0,85,0
106,80,1,2,1,,2,1,3,100,0,100
107,66,1,2,1,1,3,2,4,30,100,0
108,80,1,2,1,1,3,3,10,30,85,
109,66,5,2,1,,2,3,19,30,65,40
110,60,1,2,1,1,1,2,17,90,0,85
111,34,1,2,1,1,,2,19,0,100,0
112,80,4,2,1,,2,2,22,15,100,15
113,71,1,2,1,1,3,1,14,50,70,40
114,72,1,2,1,,2,2,6,0,100,15
115,57,1,2,1,1,2,2,8,15,70,15
116,36,3,1,1,,2,2,17,85,85,50
117,61,2,2,1,1,2,1,16,100,0,100
118,58,5,2,1,,1,2,1,0,100,0
119,30,2,2,1,1,3,3,17,85,0,60
120,80,1,2,1,,2,2,17,15,85,0
121,,,2,1,1,1,2,,0,100,15
122,72,3,1,1,1,2,1,5,,,
123,38,3,1,1,,,1,1,72,50,100
124,60,1,2,2,,4,2,5,20,80,15
125,52,2,2,2,2,3,3,4,60,70,50
126,40,1,2,2,,2,3,8,70,50,60
127,23,1,2,2,,2,1,,90,0,65
128,54,1,2,1,,1,2,19,0,100,0
129,70,1,2,1,,1,1,16,100,0,100
130,23,3,1,2,,2,3,5,100,0,60
131,66,2,2,1,1,2,3,21,85,0,85
