"","country","iso3n","WomanLeader","Death","DeathCases","DeathMillion","CapacityHigh","Trust","TrustHigh"
"1","Australia",36,0,907,3.3,0.363,1,45.7,1
"2","Austria",40,0,1377,0.9,1.556,0,45.3,1
"3","Belgium",56,1,12907,2.6,11.3,1,43.7,1
"4","Brazil",76,0,162269,2.9,7.747,0,20,0
"5","Canada",124,0,10547,4,2.846,0,62.7,1
"6","Chile",152,0,14499,2.8,7.741,0,26.7,0
"7","Colombia",170,0,32595,2.9,6.565,0,25,0
"8","Czech Republic",203,0,4681,1.1,4.405,0,39.3,0
"9","Denmark",208,1,740,1.4,1.276,1,55.7,1
"10","Estonia",233,0,73,1.2,0.553,0,39,0
"11","Finland",246,1,362,2.1,0.656,1,55,1
"12","France",250,0,40220,2.4,6.004,0,34.3,0
"13","Germany",276,1,11306,1.7,1.363,1,58.7,1
"14","Greece",300,0,749,1.4,0.698,0,14.3,0
"15","Hungary",348,0,2357,2.2,2.413,0,35.7,0
"16","Iceland",352,1,18,0.4,0.509,0,36.5,0
"17","Ireland",372,0,1945,3,4.007,1,59.7,1
"18","Israel",376,0,2664,0.8,2.999,0,41.7,0
"19","Italy",380,0,41063,4.5,6.795,0,22.7,0
"20","Japan",392,0,1815,1.7,0.143,0,38.3,0
"21","Korea (the Republic of)",410,0,478,1.7,0.093,0,33,0
"22","Latvia",428,0,96,1.2,0.498,0,26,0
"23","Lithuania",440,0,203,0.9,0.728,0,30.7,0
"24","Luxembourg",442,0,180,0.8,2.962,1,72.7,1
"25","Mexico",484,0,94808,9.9,7.513,0,27.7,0
"26","Netherlands (the)",528,0,8028,2,4.659,1,63.3,1
"27","New Zealand",554,1,25,1.3,0.051,1,60.7,1
"28","Norway",578,1,285,1.2,0.536,1,68.7,1
"29","Poland",616,0,7636,1.5,2.011,0,43.7,1
"30","Portugal",620,0,2848,1.6,2.77,0,45.7,1
"31","Slovakia",703,0,351,0.5,0.644,0,34.7,0
"32","Slovenia",705,0,531,1.2,2.568,0,24.3,0
"33","Spain",724,0,38833,2.9,8.311,0,28.7,0
"34","Sweden",752,0,6022,4.1,5.914,1,51.3,1
"35","Switzerland",756,0,2749,1.3,3.228,1,82.3,1
"36","Turkey",792,0,10803,2.8,1.312,0,56,1
"37","Russia",810,0,30010,1.7,2.077,0,53.3,1
"38","United Kingdom of Great Britain and Northern Ireland (the)",826,0,48978,4.2,7.366,0,42.3,0
"39","United States of America (the)",840,0,237113,2.4,7.247,0,33.3,0
